"Group_name","IU_ID","IU_ID2"
"0","18919","ETH18919"
"0","18920","ETH18920"
"0","18921","ETH18921"
"0","18922","ETH18922"
"0","18924","ETH18924"
"0","18925","ETH18925"
"0","18926","ETH18926"
"0","18928","ETH18928"
"0","18929","ETH18929"
"0","18930","ETH18930"
"0","18931","ETH18931"
"0","18932","ETH18932"
"0","18933","ETH18933"
"0","18934","ETH18934"
"0","18935","ETH18935"
"0","18936","ETH18936"
"0","18937","ETH18937"
"0","18938","ETH18938"
"0","18939","ETH18939"
"0","18940","ETH18940"
"0","18941","ETH18941"
"0","18944","ETH18944"
"0","18946","ETH18946"
"0","18947","ETH18947"
"0","18948","ETH18948"
"0","18952","ETH18952"
"0","18953","ETH18953"
"0","18954","ETH18954"
"0","18955","ETH18955"
"0","18956","ETH18956"
"0","18957","ETH18957"
"0","18958","ETH18958"
"0","18961","ETH18961"
"0","18963","ETH18963"
"0","18964","ETH18964"
"0","18965","ETH18965"
"0","18967","ETH18967"
"0","18969","ETH18969"
"0","18970","ETH18970"
"0","18972","ETH18972"
"0","18973","ETH18973"
"0","18975","ETH18975"
"0","18977","ETH18977"
"0","18978","ETH18978"
"0","18979","ETH18979"
"0","18980","ETH18980"
"0","18981","ETH18981"
"0","18985","ETH18985"
"0","18986","ETH18986"
"0","18988","ETH18988"
"0","18989","ETH18989"
"0","18990","ETH18990"
"0","18991","ETH18991"
"0","18993","ETH18993"
"0","18995","ETH18995"
"0","18997","ETH18997"
"0","18998","ETH18998"
"0","18999","ETH18999"
"0","19000","ETH19000"
"0","19002","ETH19002"
"0","19004","ETH19004"
"0","19005","ETH19005"
"0","19006","ETH19006"
"0","19007","ETH19007"
"0","19008","ETH19008"
"0","19009","ETH19009"
"0","19010","ETH19010"
"0","19011","ETH19011"
"0","19012","ETH19012"
"0","19013","ETH19013"
"0","19014","ETH19014"
"0","19016","ETH19016"
"0","19017","ETH19017"
"0","19018","ETH19018"
"0","19019","ETH19019"
"0","19020","ETH19020"
"0","19022","ETH19022"
"0","19024","ETH19024"
"0","19026","ETH19026"
"0","19027","ETH19027"
"0","19028","ETH19028"
"0","19029","ETH19029"
"0","19030","ETH19030"
"0","19031","ETH19031"
"0","19032","ETH19032"
"0","19033","ETH19033"
"0","19034","ETH19034"
"0","19037","ETH19037"
"0","19038","ETH19038"
"0","19039","ETH19039"
"0","19040","ETH19040"
"0","19041","ETH19041"
"0","19042","ETH19042"
"0","19043","ETH19043"
"0","19044","ETH19044"
"0","19045","ETH19045"
"0","19046","ETH19046"
"0","19048","ETH19048"
"0","19051","ETH19051"
"0","19052","ETH19052"
"0","19053","ETH19053"
"0","19054","ETH19054"
"0","19055","ETH19055"
"0","19056","ETH19056"
"0","19058","ETH19058"
"0","19059","ETH19059"
"0","19060","ETH19060"
"0","19061","ETH19061"
"0","19062","ETH19062"
"0","19063","ETH19063"
"0","19066","ETH19066"
"0","19067","ETH19067"
"0","19068","ETH19068"
"0","19069","ETH19069"
"0","19070","ETH19070"
"0","19071","ETH19071"
"0","19072","ETH19072"
"0","19073","ETH19073"
"0","19075","ETH19075"
"0","19076","ETH19076"
"0","19077","ETH19077"
"0","19079","ETH19079"
"0","19080","ETH19080"
"0","19081","ETH19081"
"0","19082","ETH19082"
"0","19083","ETH19083"
"0","19085","ETH19085"
"0","19086","ETH19086"
"0","19087","ETH19087"
"0","19088","ETH19088"
"0","19094","ETH19094"
"0","19095","ETH19095"
"0","19096","ETH19096"
"0","19097","ETH19097"
"0","19098","ETH19098"
"0","19099","ETH19099"
"0","19101","ETH19101"
"0","19102","ETH19102"
"0","19105","ETH19105"
"0","19108","ETH19108"
"0","19109","ETH19109"
"0","19110","ETH19110"
"0","19111","ETH19111"
"0","19113","ETH19113"
"0","19114","ETH19114"
"0","19115","ETH19115"
"0","19116","ETH19116"
"0","19117","ETH19117"
"0","19120","ETH19120"
"0","19122","ETH19122"
"0","19123","ETH19123"
"0","19125","ETH19125"
"0","19126","ETH19126"
"0","19127","ETH19127"
"0","19128","ETH19128"
"0","19130","ETH19130"
"0","19131","ETH19131"
"0","19133","ETH19133"
"0","19134","ETH19134"
"0","19137","ETH19137"
"0","19138","ETH19138"
"0","19140","ETH19140"
"0","19141","ETH19141"
"0","19142","ETH19142"
"0","19145","ETH19145"
"0","19146","ETH19146"
"0","19149","ETH19149"
"0","19150","ETH19150"
"0","19151","ETH19151"
"0","19153","ETH19153"
"0","19154","ETH19154"
"0","19155","ETH19155"
"0","19156","ETH19156"
"0","19157","ETH19157"
"0","19158","ETH19158"
"0","19160","ETH19160"
"0","19161","ETH19161"
"0","19163","ETH19163"
"0","19164","ETH19164"
"0","19165","ETH19165"
"0","19166","ETH19166"
"0","19167","ETH19167"
"0","19170","ETH19170"
"0","19171","ETH19171"
"0","19172","ETH19172"
"0","19174","ETH19174"
"0","19175","ETH19175"
"0","19176","ETH19176"
"0","19178","ETH19178"
"0","19179","ETH19179"
"0","19180","ETH19180"
"0","19181","ETH19181"
"0","19182","ETH19182"
"0","19183","ETH19183"
"0","19184","ETH19184"
"0","19185","ETH19185"
"0","19186","ETH19186"
"0","19187","ETH19187"
"0","19188","ETH19188"
"0","19189","ETH19189"
"0","19190","ETH19190"
"0","19191","ETH19191"
"0","19192","ETH19192"
"0","19193","ETH19193"
"0","19197","ETH19197"
"0","19199","ETH19199"
"0","19200","ETH19200"
"0","19203","ETH19203"
"0","19207","ETH19207"
"0","19208","ETH19208"
"0","19209","ETH19209"
"0","19212","ETH19212"
"0","19213","ETH19213"
"0","19214","ETH19214"
"0","19215","ETH19215"
"0","19217","ETH19217"
"0","19218","ETH19218"
"0","19219","ETH19219"
"0","19220","ETH19220"
"0","19221","ETH19221"
"0","19222","ETH19222"
"0","19223","ETH19223"
"0","19226","ETH19226"
"0","19227","ETH19227"
"0","19228","ETH19228"
"0","19229","ETH19229"
"0","19230","ETH19230"
"0","19231","ETH19231"
"0","19234","ETH19234"
"0","19235","ETH19235"
"0","19236","ETH19236"
"0","19237","ETH19237"
"0","19238","ETH19238"
"0","19239","ETH19239"
"0","19242","ETH19242"
"0","19243","ETH19243"
"0","19244","ETH19244"
"0","19245","ETH19245"
"0","19246","ETH19246"
"0","19248","ETH19248"
"0","19249","ETH19249"
"0","19250","ETH19250"
"0","19251","ETH19251"
"0","19252","ETH19252"
"0","19254","ETH19254"
"0","19255","ETH19255"
"0","19256","ETH19256"
"0","19257","ETH19257"
"0","19260","ETH19260"
"0","19261","ETH19261"
"0","19262","ETH19262"
"0","19265","ETH19265"
"0","19267","ETH19267"
"0","19271","ETH19271"
"0","19272","ETH19272"
"0","19273","ETH19273"
"0","19274","ETH19274"
"0","19276","ETH19276"
"0","19278","ETH19278"
"0","19281","ETH19281"
"0","19282","ETH19282"
"0","19284","ETH19284"
"0","19285","ETH19285"
"0","19286","ETH19286"
