"Group_name","IU_ID","IU_ID2"
"0","13830","COD13830"
"0","13831","COD13831"
"0","13842","COD13842"
"0","13858","COD13858"
"0","13924","COD13924"
"0","13929","COD13929"
"0","13969","COD13969"
"0","13973","COD13973"
"0","13905","COD13905"
"0","13908","COD13908"
"0","13913","COD13913"
"0","13914","COD13914"
"0","13925","COD13925"
"0","13935","COD13935"
"0","13947","COD13947"
"0","13948","COD13948"
"0","13949","COD13949"
"0","13954","COD13954"
"0","13959","COD13959"
"0","14088","COD14088"
"0","14226","COD14226"
"0","14291","COD14291"
"0","14294","COD14294"
"0","13900","COD13900"
"0","13907","COD13907"
"0","13918","COD13918"
"0","13933","COD13933"
"0","13943","COD13943"
"0","14196","COD14196"
"0","14183","COD14183"
"0","13903","COD13903"
"0","13915","COD13915"
"0","13932","COD13932"
"0","13934","COD13934"
"0","13946","COD13946"
"0","13965","COD13965"
"0","14224","COD14224"
"0","14229","COD14229"
"0","14242","COD14242"
"0","14254","COD14254"
"0","14261","COD14261"
"0","14304","COD14304"
"0","14316","COD14316"
"0","14119","COD14119"
"0","09661","CAF09661"
"0","09662","CAF09662"
"0","09664","CAF09664"
"0","09680","CAF09680"
"0","09681","CAF09681"
"0","09682","CAF09682"
"0","09667","CAF09667"
"0","09669","CAF09669"
"0","09670","CAF09670"
"0","09687","CAF09687"
"0","09690","CAF09690"
"0","09691","CAF09691"
"0","09675","CAF09675"
"0","09671","CAF09671"
"0","09688","CAF09688"
"0","09692","CAF09692"
"0","15378","CIV15378"
"0","15390","CIV15390"
"0","15406","CIV15406"
"0","15426","CIV15426"
"0","15428","CIV15428"
"0","15453","CIV15453"
"0","15454","CIV15454"
"0","15455","CIV15455"
"0","15463","CIV15463"
"0","15464","CIV15464"
"0","15355","CIV15355"
"0","15357","CIV15357"
"0","15429","CIV15429"
"0","15430","CIV15430"
"0","15407","CIV15407"
"0","15449","CIV15449"
"0","15450","CIV15450"
"0","07476","CMR07476"
"0","07487","CMR07487"
"0","07609","CMR07609"
"0","17441","ERI17441"
"0","19557","ETH19557"
"0","19538","ETH19538"
"0","18503","ETH18503"
"0","19226","ETH19226"
"0","19272","ETH19272"
"0","18860","ETH18860"
"0","18903","ETH18903"
"0","19386","ETH19386"
"0","19489","ETH19489"
"0","19323","ETH19323"
"0","19063","ETH19063"
"0","19067","ETH19067"
"0","19083","ETH19083"
"0","19088","ETH19088"
"0","19101","ETH19101"
"0","19397","ETH19397"
"0","19079","ETH19079"
"0","19170","ETH19170"
"0","19393","ETH19393"
"0","19395","ETH19395"
"0","19396","ETH19396"
"0","19490","ETH19490"
"0","19249","ETH19249"
"0","19140","ETH19140"
"0","19141","ETH19141"
"0","19150","ETH19150"
"0","19151","ETH19151"
"0","19167","ETH19167"
"0","19184","ETH19184"
"0","19186","ETH19186"
"0","19188","ETH19188"
"0","19192","ETH19192"
"0","19221","ETH19221"
"0","19228","ETH19228"
"0","19229","ETH19229"
"0","19230","ETH19230"
"0","19245","ETH19245"
"0","19248","ETH19248"
"0","19254","ETH19254"
"0","19255","ETH19255"
"0","19256","ETH19256"
"0","19531","ETH19531"
"0","19533","ETH19533"
"0","19555","ETH19555"
"0","19556","ETH19556"
"0","19276","ETH19276"
"0","19284","ETH19284"
"0","19293","ETH19293"
"0","19294","ETH19294"
"0","19302","ETH19302"
"0","19183","ETH19183"
"0","19539","ETH19539"
"0","19243","ETH19243"
"0","19394","ETH19394"
"0","19087","ETH19087"
"0","19111","ETH19111"
"0","19166","ETH19166"
"0","19174","ETH19174"
"0","19178","ETH19178"
"0","19203","ETH19203"
"0","19223","ETH19223"
"0","19237","ETH19237"
"0","19260","ETH19260"
"0","19494","ETH19494"
"0","19536","ETH19536"
"0","19537","ETH19537"
"0","18800","ETH18800"
"0","18805","ETH18805"
"0","18839","ETH18839"
"0","18872","ETH18872"
"0","18880","ETH18880"
"0","18902","ETH18902"
"0","18926","ETH18926"
"0","18958","ETH18958"
"0","19022","ETH19022"
"0","19368","ETH19368"
"0","19378","ETH19378"
"0","19380","ETH19380"
"0","19464","ETH19464"
"0","19474","ETH19474"
"0","19484","ETH19484"
"0","19518","ETH19518"
"0","18744","ETH18744"
"0","18759","ETH18759"
"0","18834","ETH18834"
"0","18840","ETH18840"
"0","18842","ETH18842"
"0","18858","ETH18858"
"0","18915","ETH18915"
"0","18930","ETH18930"
"0","18957","ETH18957"
"0","18975","ETH18975"
"0","18997","ETH18997"
"0","19002","ETH19002"
"0","19004","ETH19004"
"0","19010","ETH19010"
"0","19013","ETH19013"
"0","19032","ETH19032"
"0","19040","ETH19040"
"0","19244","ETH19244"
"0","19358","ETH19358"
"0","18689","ETH18689"
"0","18691","ETH18691"
"0","18761","ETH18761"
"0","18793","ETH18793"
"0","18830","ETH18830"
"0","19017","ETH19017"
"0","19278","ETH19278"
"0","19290","ETH19290"
"0","19291","ETH19291"
"0","19292","ETH19292"
"0","19300","ETH19300"
"0","19319","ETH19319"
"0","19321","ETH19321"
"0","19324","ETH19324"
"0","19341","ETH19341"
"0","19362","ETH19362"
"0","19363","ETH19363"
"0","19364","ETH19364"
"0","18740","ETH18740"
"0","18749","ETH18749"
"0","18751","ETH18751"
"0","18785","ETH18785"
"0","18823","ETH18823"
"0","18827","ETH18827"
"0","18836","ETH18836"
"0","18845","ETH18845"
"0","18856","ETH18856"
"0","18859","ETH18859"
"0","18863","ETH18863"
"0","18873","ETH18873"
"0","18897","ETH18897"
"0","18898","ETH18898"
"0","18954","ETH18954"
"0","18956","ETH18956"
"0","18985","ETH18985"
"0","18999","ETH18999"
"0","19009","ETH19009"
"0","19027","ETH19027"
"0","19130","ETH19130"
"0","19142","ETH19142"
"0","19165","ETH19165"
"0","19200","ETH19200"
"0","19217","ETH19217"
"0","19369","ETH19369"
"0","19379","ETH19379"
"0","19439","ETH19439"
"0","19440","ETH19440"
"0","19441","ETH19441"
"0","19471","ETH19471"
"0","19475","ETH19475"
"0","19476","ETH19476"
"0","19483","ETH19483"
"0","19491","ETH19491"
"0","19504","ETH19504"
"0","19528","ETH19528"
"0","19586","ETH19586"
"0","19587","ETH19587"
"0","52964","ETH52964"
"0","18753","ETH18753"
"0","18762","ETH18762"
"0","18790","ETH18790"
"0","18816","ETH18816"
"0","18829","ETH18829"
"0","18835","ETH18835"
"0","18855","ETH18855"
"0","18864","ETH18864"
"0","18882","ETH18882"
"0","18895","ETH18895"
"0","18939","ETH18939"
"0","18981","ETH18981"
"0","19199","ETH19199"
"0","19267","ETH19267"
"0","19438","ETH19438"
"0","19442","ETH19442"
"0","19444","ETH19444"
"0","19505","ETH19505"
"0","19506","ETH19506"
"0","19584","ETH19584"
"0","18736","ETH18736"
"0","19082","ETH19082"
"0","18748","ETH18748"
"0","18777","ETH18777"
"0","18801","ETH18801"
"0","18911","ETH18911"
"0","18964","ETH18964"
"0","19372","ETH19372"
"0","19384","ETH19384"
"0","19485","ETH19485"
"0","19486","ETH19486"
"0","18932","ETH18932"
"0","18739","ETH18739"
"0","18741","ETH18741"
"0","18760","ETH18760"
"0","18847","ETH18847"
"0","18866","ETH18866"
"0","18894","ETH18894"
"0","18899","ETH18899"
"0","18913","ETH18913"
"0","18920","ETH18920"
"0","18922","ETH18922"
"0","18929","ETH18929"
"0","18948","ETH18948"
"0","19477","ETH19477"
"0","19478","ETH19478"
"0","18934","ETH18934"
"0","19286","ETH19286"
"0","19287","ETH19287"
"0","19309","ETH19309"
"0","19310","ETH19310"
"0","19311","ETH19311"
"0","18783","ETH18783"
"0","18803","ETH18803"
"0","18818","ETH18818"
"0","18850","ETH18850"
"0","18876","ETH18876"
"0","18881","ETH18881"
"0","18888","ETH18888"
"0","18889","ETH18889"
"0","18901","ETH18901"
"0","18935","ETH18935"
"0","18955","ETH18955"
"0","18963","ETH18963"
"0","18965","ETH18965"
"0","19127","ETH19127"
"0","19172","ETH19172"
"0","19175","ETH19175"
"0","19187","ETH19187"
"0","19189","ETH19189"
"0","19246","ETH19246"
"0","19252","ETH19252"
"0","19273","ETH19273"
"0","19334","ETH19334"
"0","19366","ETH19366"
"0","19430","ETH19430"
"0","19511","ETH19511"
"0","19551","ETH19551"
"0","19552","ETH19552"
"0","19553","ETH19553"
"0","19554","ETH19554"
"0","18775","ETH18775"
"0","19374","ETH19374"
"0","18786","ETH18786"
"0","18969","ETH18969"
"0","19014","ETH19014"
"0","19031","ETH19031"
"0","18993","ETH18993"
"0","18780","ETH18780"
"0","18814","ETH18814"
"0","18865","ETH18865"
"0","18885","ETH18885"
"0","18953","ETH18953"
"0","18978","ETH18978"
"0","18998","ETH18998"
"0","19008","ETH19008"
"0","18738","ETH18738"
"0","18809","ETH18809"
"0","18909","ETH18909"
"0","18925","ETH18925"
"0","18989","ETH18989"
"0","18990","ETH18990"
"0","19005","ETH19005"
"0","19016","ETH19016"
"0","19019","ETH19019"
"0","19024","ETH19024"
"0","19026","ETH19026"
"0","19332","ETH19332"
"0","19375","ETH19375"
"0","19041","ETH19041"
"0","19117","ETH19117"
"0","19171","ETH19171"
"0","19436","ETH19436"
"0","19514","ETH19514"
"0","18817","ETH18817"
"0","18822","ETH18822"
"0","18871","ETH18871"
"0","19033","ETH19033"
"0","19037","ETH19037"
"0","19042","ETH19042"
"0","18742","ETH18742"
"0","18826","ETH18826"
"0","18918","ETH18918"
"0","19029","ETH19029"
"0","18995","ETH18995"
"0","19157","ETH19157"
"0","18679","ETH18679"
"0","19133","ETH19133"
"0","19155","ETH19155"
"0","19156","ETH19156"
"0","19161","ETH19161"
"0","19012","ETH19012"
"0","19220","ETH19220"
"0","19239","ETH19239"
"0","19545","ETH19545"
"0","19427","ETH19427"
"0","19502","ETH19502"
"0","18623","ETH18623"
"0","18671","ETH18671"
"0","18543","ETH18543"
"0","18566","ETH18566"
"0","18615","ETH18615"
"0","18643","ETH18643"
"0","18676","ETH18676"
"0","18591","ETH18591"
"0","18618","ETH18618"
"0","19295","ETH19295"
"0","18746","ETH18746"
"0","18795","ETH18795"
"0","19219","ETH19219"
"0","19376","ETH19376"
"0","19480","ETH19480"
"0","18905","ETH18905"
"0","18766","ETH18766"
"0","18536","ETH18536"
"0","18552","ETH18552"
"0","19355","ETH19355"
"0","18553","ETH18553"
"0","18569","ETH18569"
"0","18597","ETH18597"
"0","18637","ETH18637"
"0","18640","ETH18640"
"0","18642","ETH18642"
"0","18648","ETH18648"
"0","18654","ETH18654"
"0","18656","ETH18656"
"0","19160","ETH19160"
"0","19542","ETH19542"
"0","19251","ETH19251"
"0","19540","ETH19540"
"0","19231","ETH19231"
"0","19541","ETH19541"
"0","18747","ETH18747"
"0","18555","ETH18555"
"0","18571","ETH18571"
"0","18534","ETH18534"
"0","19425","ETH19425"
"0","18551","ETH18551"
"0","18638","ETH18638"
"0","18639","ETH18639"
"0","19207","ETH19207"
"0","19428","ETH19428"
