"Group_name","IU_ID","IU_ID2"
"1","18793","ETH18793"
"1","18794","ETH18794"
"1","18795","ETH18795"
"1","18796","ETH18796"
"1","18799","ETH18799"
"1","18801","ETH18801"
"1","18802","ETH18802"
"1","18803","ETH18803"
"1","18805","ETH18805"
"1","18806","ETH18806"
"1","18807","ETH18807"
"1","18808","ETH18808"
"1","18809","ETH18809"
"1","18810","ETH18810"
"1","18811","ETH18811"
"1","18812","ETH18812"
"1","18813","ETH18813"
"1","18814","ETH18814"
"1","18815","ETH18815"
"1","18816","ETH18816"
"1","18817","ETH18817"
"1","18818","ETH18818"
"1","18820","ETH18820"
"1","18821","ETH18821"
"1","18822","ETH18822"
"1","18823","ETH18823"
"1","18825","ETH18825"
"1","18826","ETH18826"
"1","18827","ETH18827"
"1","18828","ETH18828"
"1","18829","ETH18829"
"1","18830","ETH18830"
"1","18831","ETH18831"
"1","18832","ETH18832"
"1","18833","ETH18833"
"1","18834","ETH18834"
"1","18835","ETH18835"
"1","18836","ETH18836"
"1","18837","ETH18837"
"1","18838","ETH18838"
"1","18839","ETH18839"
"1","18840","ETH18840"
"1","18842","ETH18842"
"1","18843","ETH18843"
"1","18844","ETH18844"
"1","18845","ETH18845"
"1","18847","ETH18847"
"1","18848","ETH18848"
"1","18849","ETH18849"
"1","18850","ETH18850"
"1","18852","ETH18852"
"1","18853","ETH18853"
"1","18855","ETH18855"
"1","18856","ETH18856"
"1","18857","ETH18857"
"1","18858","ETH18858"
"1","18859","ETH18859"
"1","18860","ETH18860"
"1","18861","ETH18861"
"1","18863","ETH18863"
"1","18864","ETH18864"
"1","18865","ETH18865"
"1","18866","ETH18866"
"1","18867","ETH18867"
"1","18868","ETH18868"
"1","18869","ETH18869"
"1","18871","ETH18871"
"1","18872","ETH18872"
"1","18873","ETH18873"
"1","18875","ETH18875"
"1","18876","ETH18876"
"1","18877","ETH18877"
"1","18878","ETH18878"
"1","18881","ETH18881"
"1","18882","ETH18882"
"1","18883","ETH18883"
"1","18884","ETH18884"
"1","18885","ETH18885"
"1","18886","ETH18886"
"1","18887","ETH18887"
"1","18888","ETH18888"
"1","18889","ETH18889"
"1","18890","ETH18890"
"1","18891","ETH18891"
"1","18892","ETH18892"
"1","18894","ETH18894"
"1","18895","ETH18895"
"1","18896","ETH18896"
"1","18897","ETH18897"
"1","18898","ETH18898"
"1","18899","ETH18899"
"1","18901","ETH18901"
"1","18902","ETH18902"
"1","18903","ETH18903"
"1","18904","ETH18904"
"1","18905","ETH18905"
"1","18908","ETH18908"
"1","18909","ETH18909"
"1","18910","ETH18910"
"1","18912","ETH18912"
"1","18913","ETH18913"
"1","18914","ETH18914"
"1","18915","ETH18915"
"1","18916","ETH18916"
"1","18917","ETH18917"
"1","18918","ETH18918"
"1","18919","ETH18919"
"1","18920","ETH18920"
"1","18921","ETH18921"
"1","18922","ETH18922"
"1","18923","ETH18923"
"1","18924","ETH18924"
"1","18925","ETH18925"
"1","18926","ETH18926"
"1","18928","ETH18928"
"1","18930","ETH18930"
"1","18931","ETH18931"
"1","18932","ETH18932"
"1","18933","ETH18933"
"1","18935","ETH18935"
"1","18936","ETH18936"
"1","18937","ETH18937"
"1","18938","ETH18938"
"1","18939","ETH18939"
"1","18940","ETH18940"
"1","18941","ETH18941"
"1","18943","ETH18943"
"1","18944","ETH18944"
"1","18945","ETH18945"
"1","18946","ETH18946"
"1","18947","ETH18947"
"1","18948","ETH18948"
"1","18949","ETH18949"
"1","18952","ETH18952"
"1","18953","ETH18953"
"1","18954","ETH18954"
"1","18955","ETH18955"
"1","18956","ETH18956"
"1","18957","ETH18957"
"1","18958","ETH18958"
"1","18959","ETH18959"
"1","18960","ETH18960"
"1","18961","ETH18961"
"1","18963","ETH18963"
"1","18964","ETH18964"
"1","18965","ETH18965"
