"Group_name","IU_ID","IU_ID2"
"1","36684","NGA36684"
"1","36688","NGA36688"
"1","36690","NGA36690"
"1","36695","NGA36695"
"1","36696","NGA36696"
"1","36699","NGA36699"
"1","36703","NGA36703"
"1","36706","NGA36706"
"1","36707","NGA36707"
"1","36709","NGA36709"
"1","36710","NGA36710"
"1","36712","NGA36712"
"1","36713","NGA36713"
"1","36714","NGA36714"
"1","36715","NGA36715"
"1","36717","NGA36717"
"1","36718","NGA36718"
"1","36719","NGA36719"
"1","36720","NGA36720"
"1","36721","NGA36721"
"1","36722","NGA36722"
"1","36723","NGA36723"
"1","36726","NGA36726"
"1","36728","NGA36728"
"1","36729","NGA36729"
"1","36730","NGA36730"
"1","36731","NGA36731"
"1","36732","NGA36732"
"1","36733","NGA36733"
"1","36734","NGA36734"
"1","36735","NGA36735"
"1","36736","NGA36736"
"1","36737","NGA36737"
"1","36741","NGA36741"
"1","36743","NGA36743"
"1","36744","NGA36744"
"1","36745","NGA36745"
"1","36747","NGA36747"
"1","36748","NGA36748"
"1","36751","NGA36751"
"1","36752","NGA36752"
"1","36754","NGA36754"
"1","36755","NGA36755"
"1","36758","NGA36758"
"1","36760","NGA36760"
"1","36761","NGA36761"
"1","36764","NGA36764"
"1","36765","NGA36765"
"1","36772","NGA36772"
"1","36773","NGA36773"
"1","36780","NGA36780"
"1","36781","NGA36781"
"1","36782","NGA36782"
"1","36785","NGA36785"
"1","36786","NGA36786"
"1","36787","NGA36787"
"1","36791","NGA36791"
"1","36793","NGA36793"
"1","36797","NGA36797"
"1","36798","NGA36798"
"1","36800","NGA36800"
"1","36801","NGA36801"
"1","36802","NGA36802"
"1","36803","NGA36803"
"1","36806","NGA36806"
"1","36808","NGA36808"
"1","36812","NGA36812"
"1","36818","NGA36818"
"1","36819","NGA36819"
"1","36820","NGA36820"
"1","36821","NGA36821"
"1","36824","NGA36824"
"1","36825","NGA36825"
"1","36827","NGA36827"
"1","36828","NGA36828"
"1","36829","NGA36829"
"1","36830","NGA36830"
"1","36831","NGA36831"
"1","36832","NGA36832"
"1","36834","NGA36834"
"1","36835","NGA36835"
"1","36836","NGA36836"
"1","36837","NGA36837"
"1","36838","NGA36838"
"1","36842","NGA36842"
"1","36851","NGA36851"
"1","36852","NGA36852"
"1","36856","NGA36856"
"1","36862","NGA36862"
"1","36863","NGA36863"
"1","36865","NGA36865"
"1","36867","NGA36867"
"1","36869","NGA36869"
"1","36870","NGA36870"
"1","36872","NGA36872"
"1","36878","NGA36878"
"1","36880","NGA36880"
"1","36881","NGA36881"
"1","36882","NGA36882"
"1","36885","NGA36885"
"1","36886","NGA36886"
"1","36887","NGA36887"
"1","36888","NGA36888"
"1","36890","NGA36890"
"1","36891","NGA36891"
"1","36892","NGA36892"
"1","36893","NGA36893"
"1","36894","NGA36894"
"1","36896","NGA36896"
"1","36898","NGA36898"
"1","36899","NGA36899"
"1","36901","NGA36901"
"1","36904","NGA36904"
"1","36905","NGA36905"
"1","36909","NGA36909"
"1","36910","NGA36910"
"1","36911","NGA36911"
"1","36914","NGA36914"
"1","36918","NGA36918"
"1","36920","NGA36920"
"1","36921","NGA36921"
"1","36922","NGA36922"
"1","36923","NGA36923"
"1","36925","NGA36925"
"1","36926","NGA36926"
"1","36928","NGA36928"
"1","36930","NGA36930"
"1","36932","NGA36932"
"1","36933","NGA36933"
"1","36934","NGA36934"
"1","36935","NGA36935"
"1","36940","NGA36940"
"1","36942","NGA36942"
"1","36943","NGA36943"
"1","36951","NGA36951"
"1","36952","NGA36952"
"1","36953","NGA36953"
"1","36954","NGA36954"
"1","36955","NGA36955"
"1","36956","NGA36956"
"1","36957","NGA36957"
"1","36961","NGA36961"
"1","36962","NGA36962"
"1","36963","NGA36963"
"1","36973","NGA36973"
"1","36976","NGA36976"
