"Group_name","IU_ID","IU_ID2"
"44","38125","RWA38125"
"45","49765","UGA49765"
"46","38138","RWA38138"
"47","49732","UGA49732"
"48","51896","TZZ51896"
"49","28953","MWI28953"
"50","49805","UGA49805"
"51","49758","UGA49758"
"52","54212","KEN54212"
"53","49707","UGA49707"
"54","45425","SWZ45425"
"55","7439","CMR07439"
"56","7427","CMR07427"
"57","7525","CMR07525"
"58","50883","ZMB50883"
"59","27866","MDG27866"
"60","21399","GHA21399"
"61","18555","ETH18555"
"62","21512","GHA21512"
"63","18656","ETH18656"
"64","27861","MDG27861"
"65","33195","MOZ33195"
"66","37001","NGA37001"
"67","21383","GHA21383"
"68","3269","BEN03269"
"69","49811","UGA49811"
"70","36835","NGA36835"
"71","54171","KEN54171"
"72","22616","GIN22616"
"73","10698","TCD10698"
"74","22604","GIN22604"
"75","10718","TCD10718"
"76","13935","COD13935"
"77","49745","UGA49745"
"78","49781","UGA49781"
"79","49730","UGA49730"
"80","49766","UGA49766"
"81","38126","RWA38126"
"82","18714","ETH18714"
"83","49776","UGA49776"
"84","49713","UGA49713"
"85","50884","ZMB50884"
"86","49733","UGA49733"
