"Group_name","IU_ID","IU_ID2"
"0","07534","CMR07534"
"0","07535","CMR07535"
"0","07536","CMR07536"
"0","07537","CMR07537"
"0","07538","CMR07538"
"0","07539","CMR07539"
"0","07540","CMR07540"
"0","07541","CMR07541"
"0","07609","CMR07609"
"0","13823","COD13823"
"0","13825","COD13825"
"0","13826","COD13826"
"0","13827","COD13827"
"0","13829","COD13829"
"0","13830","COD13830"
"0","13831","COD13831"
"0","13833","COD13833"
"0","13836","COD13836"
"0","13838","COD13838"
"0","13839","COD13839"
"0","13842","COD13842"
"0","13843","COD13843"
"0","13852","COD13852"
"0","13853","COD13853"
"0","13855","COD13855"
"0","13858","COD13858"
"0","13899","COD13899"
"0","13900","COD13900"
"0","13901","COD13901"
"0","13902","COD13902"
"0","13903","COD13903"
"0","13904","COD13904"
"0","13905","COD13905"
"0","13906","COD13906"
"0","13907","COD13907"
"0","13908","COD13908"
"0","13910","COD13910"
"0","13911","COD13911"
"0","13912","COD13912"
"0","13913","COD13913"
"0","13914","COD13914"
"0","13915","COD13915"
"0","13916","COD13916"
"0","13917","COD13917"
"0","13918","COD13918"
"0","13919","COD13919"
"0","13920","COD13920"
"0","13921","COD13921"
"0","13922","COD13922"
"0","13923","COD13923"
"0","13924","COD13924"
"0","13925","COD13925"
"0","13929","COD13929"
"0","13931","COD13931"
"0","13932","COD13932"
"0","13933","COD13933"
"0","13934","COD13934"
"0","13935","COD13935"
"0","13936","COD13936"
"0","13937","COD13937"
"0","13938","COD13938"
"0","13940","COD13940"
"0","13941","COD13941"
"0","13942","COD13942"
"0","13943","COD13943"
"0","13945","COD13945"
"0","13946","COD13946"
"0","13947","COD13947"
"0","13948","COD13948"
"0","13949","COD13949"
"0","13951","COD13951"
"0","13952","COD13952"
"0","13953","COD13953"
"0","13954","COD13954"
"0","13955","COD13955"
"0","13956","COD13956"
"0","13958","COD13958"
"0","13959","COD13959"
"0","13960","COD13960"
"0","13961","COD13961"
"0","13962","COD13962"
"0","13964","COD13964"
"0","13965","COD13965"
"0","13966","COD13966"
"0","13967","COD13967"
"0","13968","COD13968"
"0","13969","COD13969"
"0","13972","COD13972"
"0","13973","COD13973"
"0","13974","COD13974"
"0","13976","COD13976"
"0","13977","COD13977"
"0","13983","COD13983"
"0","13994","COD13994"
"0","13995","COD13995"
"0","13998","COD13998"
"0","13999","COD13999"
"0","14021","COD14021"
"0","14029","COD14029"
"0","14030","COD14030"
"0","14053","COD14053"
"0","14059","COD14059"
"0","14067","COD14067"
"0","14069","COD14069"
"0","14071","COD14071"
"0","14073","COD14073"
"0","14081","COD14081"
"0","14083","COD14083"
"0","14084","COD14084"
"0","14086","COD14086"
"0","14088","COD14088"
"0","14091","COD14091"
"0","14094","COD14094"
"0","14096","COD14096"
"0","14097","COD14097"
"0","14103","COD14103"
"0","14107","COD14107"
"0","14108","COD14108"
"0","14109","COD14109"
"0","14110","COD14110"
"0","14112","COD14112"
"0","14114","COD14114"
"0","14116","COD14116"
"0","14119","COD14119"
"0","14121","COD14121"
"0","14183","COD14183"
"0","14184","COD14184"
"0","14192","COD14192"
"0","14193","COD14193"
"0","14194","COD14194"
"0","14196","COD14196"
"0","14202","COD14202"
"0","14212","COD14212"
"0","14214","COD14214"
"0","14216","COD14216"
"0","14217","COD14217"
"0","14218","COD14218"
"0","14220","COD14220"
"0","14221","COD14221"
"0","14224","COD14224"
"0","14226","COD14226"
"0","14227","COD14227"
"0","14229","COD14229"
"0","14231","COD14231"
"0","14232","COD14232"
"0","14234","COD14234"
"0","14235","COD14235"
"0","14237","COD14237"
"0","14240","COD14240"
"0","14241","COD14241"
"0","14242","COD14242"
"0","14243","COD14243"
"0","14244","COD14244"
"0","14245","COD14245"
"0","14246","COD14246"
"0","14248","COD14248"
"0","14249","COD14249"
"0","14250","COD14250"
"0","14252","COD14252"
"0","14254","COD14254"
"0","14256","COD14256"
"0","14258","COD14258"
"0","14261","COD14261"
"0","14262","COD14262"
"0","14263","COD14263"
"0","14266","COD14266"
"0","14267","COD14267"
"0","14269","COD14269"
"0","14270","COD14270"
"0","14271","COD14271"
"0","14272","COD14272"
"0","14273","COD14273"
"0","14275","COD14275"
"0","14276","COD14276"
"0","14277","COD14277"
"0","14280","COD14280"
"0","14281","COD14281"
"0","14282","COD14282"
"0","14286","COD14286"
"0","14288","COD14288"
"0","14289","COD14289"
"0","14290","COD14290"
"0","14291","COD14291"
"0","14292","COD14292"
"0","14294","COD14294"
"0","14296","COD14296"
"0","14303","COD14303"
"0","14304","COD14304"
"0","14305","COD14305"
"0","14312","COD14312"
"0","14316","COD14316"
"0","14320","COD14320"
"0","14321","COD14321"
"0","14324","COD14324"
"0","14330","COD14330"
"0","12786","COG12786"
"0","12789","COG12789"
"0","12813","COG12813"
"0","17429","ERI17429"
"0","17430","ERI17430"
"0","17431","ERI17431"
"0","17432","ERI17432"
"0","17433","ERI17433"
"0","17434","ERI17434"
"0","17435","ERI17435"
"0","17436","ERI17436"
"0","17437","ERI17437"
"0","17438","ERI17438"
"0","17439","ERI17439"
"0","17440","ERI17440"
"0","17441","ERI17441"
"0","17442","ERI17442"
"0","17443","ERI17443"
"0","17444","ERI17444"
"0","17445","ERI17445"
"0","17446","ERI17446"
"0","17447","ERI17447"
"0","17448","ERI17448"
"0","17449","ERI17449"
"0","17450","ERI17450"
"0","17451","ERI17451"
"0","17452","ERI17452"
"0","17453","ERI17453"
"0","17454","ERI17454"
"0","17455","ERI17455"
"0","17456","ERI17456"
"0","17457","ERI17457"
"0","17458","ERI17458"
"0","17459","ERI17459"
"0","17460","ERI17460"
"0","17461","ERI17461"
"0","17462","ERI17462"
"0","17463","ERI17463"
"0","17464","ERI17464"
"0","17465","ERI17465"
"0","17466","ERI17466"
"0","17467","ERI17467"
"0","17468","ERI17468"
"0","17469","ERI17469"
"0","17470","ERI17470"
"0","17471","ERI17471"
"0","17472","ERI17472"
"0","17473","ERI17473"
"0","17474","ERI17474"
"0","17475","ERI17475"
"0","17476","ERI17476"
"0","17477","ERI17477"
"0","17478","ERI17478"
"0","17479","ERI17479"
"0","17480","ERI17480"
"0","17481","ERI17481"
"0","17482","ERI17482"
"0","17483","ERI17483"
"0","17484","ERI17484"
"0","17485","ERI17485"
"0","17486","ERI17486"
"0","18497","ETH18497"
"0","18498","ETH18498"
"0","18499","ETH18499"
"0","18500","ETH18500"
"0","18501","ETH18501"
