"Group_name","IU_ID","IU_ID2"
"1","36663","NGA36663"
"1","36664","NGA36664"
"1","36667","NGA36667"
"1","36669","NGA36669"
"1","36674","NGA36674"
"1","36677","NGA36677"
"1","36679","NGA36679"
"1","36683","NGA36683"
"1","36685","NGA36685"
"1","36686","NGA36686"
"1","36687","NGA36687"
"1","36689","NGA36689"
"1","36691","NGA36691"
"1","36692","NGA36692"
"1","36693","NGA36693"
"1","36694","NGA36694"
"1","36697","NGA36697"
"1","36698","NGA36698"
"1","36700","NGA36700"
"1","36701","NGA36701"
"1","36702","NGA36702"
"1","36704","NGA36704"
"1","36705","NGA36705"
"1","36708","NGA36708"
"1","36711","NGA36711"
"1","36716","NGA36716"
"1","36724","NGA36724"
"1","36725","NGA36725"
"1","36727","NGA36727"
"1","36738","NGA36738"
"1","36739","NGA36739"
"1","36740","NGA36740"
"1","36742","NGA36742"
"1","36746","NGA36746"
"1","36749","NGA36749"
"1","36750","NGA36750"
"1","36753","NGA36753"
"1","36756","NGA36756"
"1","36757","NGA36757"
"1","36759","NGA36759"
"1","36762","NGA36762"
"1","36763","NGA36763"
"1","36766","NGA36766"
"1","36767","NGA36767"
"1","36768","NGA36768"
"1","36769","NGA36769"
"1","36770","NGA36770"
"1","36771","NGA36771"
"1","36774","NGA36774"
"1","36775","NGA36775"
"1","36776","NGA36776"
"1","36777","NGA36777"
"1","36778","NGA36778"
"1","36779","NGA36779"
"1","36783","NGA36783"
"1","36784","NGA36784"
"1","36788","NGA36788"
"1","36789","NGA36789"
"1","36790","NGA36790"
"1","36792","NGA36792"
"1","36794","NGA36794"
"1","36795","NGA36795"
"1","36796","NGA36796"
"1","36799","NGA36799"
"1","36804","NGA36804"
"1","36805","NGA36805"
"1","36807","NGA36807"
"1","36809","NGA36809"
"1","36810","NGA36810"
"1","36811","NGA36811"
"1","36813","NGA36813"
"1","36814","NGA36814"
"1","36815","NGA36815"
"1","36816","NGA36816"
"1","36817","NGA36817"
"1","36822","NGA36822"
"1","36823","NGA36823"
"1","36826","NGA36826"
"1","36833","NGA36833"
"1","36839","NGA36839"
"1","36840","NGA36840"
"1","36841","NGA36841"
"1","36843","NGA36843"
"1","36844","NGA36844"
"1","36845","NGA36845"
"1","36846","NGA36846"
"1","36847","NGA36847"
"1","36848","NGA36848"
"1","36849","NGA36849"
"1","36850","NGA36850"
"1","36853","NGA36853"
"1","36854","NGA36854"
"1","36855","NGA36855"
"1","36857","NGA36857"
"1","36858","NGA36858"
"1","36859","NGA36859"
"1","36860","NGA36860"
"1","36861","NGA36861"
"1","36864","NGA36864"
"1","36866","NGA36866"
"1","36868","NGA36868"
"1","36871","NGA36871"
"1","36873","NGA36873"
"1","36874","NGA36874"
"1","36875","NGA36875"
"1","36876","NGA36876"
"1","36877","NGA36877"
"1","36879","NGA36879"
"1","36883","NGA36883"
"1","36884","NGA36884"
"1","36889","NGA36889"
"1","36895","NGA36895"
"1","36897","NGA36897"
"1","36900","NGA36900"
"1","36902","NGA36902"
"1","36903","NGA36903"
"1","36906","NGA36906"
"1","36907","NGA36907"
"1","36908","NGA36908"
"1","36912","NGA36912"
"1","36913","NGA36913"
"1","36915","NGA36915"
"1","36916","NGA36916"
"1","36917","NGA36917"
"1","36919","NGA36919"
"1","36924","NGA36924"
"1","36927","NGA36927"
"1","36929","NGA36929"
"1","36931","NGA36931"
"1","36936","NGA36936"
"1","36937","NGA36937"
"1","36938","NGA36938"
"1","36939","NGA36939"
"1","36941","NGA36941"
"1","36944","NGA36944"
"1","36945","NGA36945"
"1","36946","NGA36946"
"1","36947","NGA36947"
"1","36948","NGA36948"
"1","36949","NGA36949"
"1","36950","NGA36950"
"1","36958","NGA36958"
"1","36959","NGA36959"
"1","36960","NGA36960"
"1","36964","NGA36964"
"1","36965","NGA36965"
"1","36966","NGA36966"
"1","36967","NGA36967"
"1","36968","NGA36968"
"1","36969","NGA36969"
"1","36970","NGA36970"
"1","36971","NGA36971"
"1","36972","NGA36972"
"1","36974","NGA36974"
"1","36975","NGA36975"
"1","36978","NGA36978"
"1","36979","NGA36979"
"1","36980","NGA36980"
"1","36981","NGA36981"
"1","36983","NGA36983"
"1","36984","NGA36984"
"1","36985","NGA36985"
"1","36986","NGA36986"
"1","36988","NGA36988"
"1","36991","NGA36991"
"1","36992","NGA36992"
"1","36993","NGA36993"
"1","36994","NGA36994"
"1","36995","NGA36995"
"1","36996","NGA36996"
"1","36999","NGA36999"
"1","37000","NGA37000"
"1","37001","NGA37001"
"1","37003","NGA37003"
"1","37004","NGA37004"
"1","37005","NGA37005"
"1","37007","NGA37007"
"1","37009","NGA37009"
"1","37010","NGA37010"
"1","37011","NGA37011"
"1","37014","NGA37014"
"1","37022","NGA37022"
"1","37024","NGA37024"
"1","37037","NGA37037"
"1","37041","NGA37041"
"1","37042","NGA37042"
"1","37046","NGA37046"
"1","37049","NGA37049"
"1","37050","NGA37050"
